mes,año,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9
ABRIL,2019,303.0,2660.0,325.0,1635.0,185.0,25.0,25.0,2355.0,329.0
ABRIL,2020,1677.0,1025.0,838.0,134.0,2785.0,96.0,227.0,59.0,364.0
AGOSTO,2019,247.0,765.0,151.0,264.0,564.0,777.0,152.0,261.0,696.0
AGOSTO,2020,147.0,161.0,246.0,113.0,1093.0,53.0,160.0,178.0,737.0
DICIEMBRE,2019,1440.0,1828.0,359.0,72.0,6652.0,271.0,2202.0,108.0,376.0
DICIEMBRE,2020,1099.0,866.0,217.0,68.0,13070.0,3270.0,536.0,515.0,138.0
ENERO,2019,3135.0,1393.0,171.0,8088.0,2905.0,2055.0,131.0,119.0,397.0
ENERO,2020,1266.0,7731.0,5501.0,209.0,2556.0,223.0,266.0,158.0,493.0
FEBRERO,2019,153.0,860.0,110.0,216.0,588.0,1312.0,149.0,192.0,363.0
FEBRERO,2020,1790.0,2102.0,2098.0,598.0,10467.0,879.0,1702.0,177.0,1435.0
JULIO,2019,199.0,809.0,95.0,275.0,458.0,62.0,186.0,212.0,553.0
JULIO,2020,99.0,159.0,327.0,149.0,830.0,5074.0,115.0,84.0,707.0
JUNIO,2019,116.0,1248.0,202.0,293.0,1330.0,276.0,234.0,220.0,671.0
JUNIO,2020,84.0,237.0,450.0,27.0,396.0,60.0,468.0,393.0,975.0
MARZO,2019,343.0,2042.0,1837.0,136.0,4933.0,1337.0,678.0,142.0,533.0
MARZO,2020,0.0,531.0,0.0,0.0,1241.0,543.0,166.0,90.0,0.0
MAYO,2019,142.0,713.0,433.0,267.0,992.0,1418.0,448.0,192.0,584.0
MAYO,2020,249.0,506.0,382.0,190.0,1624.0,725.0,233.0,166.0,644.0
NOVIEMBRE,2019,345.0,1927.0,143.0,431.0,2010.0,325.0,247.0,214.0,1340.0
NOVIEMBRE,2020,825.0,722.0,214.0,76.0,6812.0,203.0,1047.0,135.0,233.0
OCTUBRE,2019,153.0,860.0,110.0,216.0,588.0,1312.0,149.0,192.0,363.0
OCTUBRE,2020,177.0,486.0,344.0,107.0,3105.0,322.0,53.0,98.0,729.0
SETIEMBRE,2019,136.0,662.0,81.0,251.0,434.0,702.0,167.0,404.0,478.0
SETIEMBRE,2020,107.0,126.0,99.0,327.0,770.0,108.0,161.0,83.0,423.0
